Datum;Done;In Progress;To Do
Montag, 15. September 2025;0;3;72
Mittwoch, 17. September 2025;1;5;70
Freitag, 19. September 2025;2;7;68
Sonntag, 21. September 2025;3;9;66
Dienstag, 23. September 2025;5;11;62
Donnerstag, 25. September 2025;7;13;59
Samstag, 27. September 2025;9;15;56
Montag, 29. September 2025;11;15;55
Mittwoch, 1. Oktober 2025;14;15;53
Freitag, 3. Oktober 2025;16;15;52
Sonntag, 5. Oktober 2025;19;15;49
Dienstag, 7. Oktober 2025;22;15;47
Donnerstag, 9. Oktober 2025;25;15;45
Samstag, 11. Oktober 2025;29;15;42
Montag, 13. Oktober 2025;32;15;40
Mittwoch, 15. Oktober 2025;35;15;38
Freitag, 17. Oktober 2025;39;15;34
Sonntag, 19. Oktober 2025;43;15;31
Dienstag, 21. Oktober 2025;46;15;29
Donnerstag, 23. Oktober 2025;50;15;26
Samstag, 25. Oktober 2025;54;15;23
Montag, 27. Oktober 2025;59;15;18
Mittwoch, 29. Oktober 2025;63;15;15
Freitag, 31. Oktober 2025;67;15;12
Sonntag, 2. November 2025;72;15;8
Dienstag, 4. November 2025;76;12;8
Donnerstag, 6. November 2025;81;10;6
Samstag, 8. November 2025;85;8;4
Montag, 10. November 2025;90;5;3
Mittwoch, 12. November 2025;95;2;2
Freitag, 14. November 2025;100;0;0